inchikey,SMILES,pAct,n_records,sd,year_min,year_max,year_median,types,assay_types,n_documents
MSNNKJFHFNWHFR-AQYVVDRMSA-N,CN1Cc2c(C(=O)N[C@H]3CC[C@H](CCN4CCc5ccc(OCC(C)(F)F)nc5CC4)CC3)cccc2C1=O,10.920818753952375,2,0.0,2020,2022,2021,Ki,B,2
FHRMNCCBNRHQPN-XUTJKUGGSA-N,Cn1cc2c(C(=O)N[C@H]3CC[C@H](CCN4CCc5ccc(OCC(F)F)nc5CC4)CC3)cccc2n1,10.853871964321762,1,0.0,2020,2020,2020,Ki,B,1
FGVZAUNCIJVVFY-WGSAOQKQSA-N,Cc1cn2c(C(=O)N[C@H]3CC[C@H](CCN4CCc5nc(OCC(F)F)sc5CC4)CC3)cccc2n1,10.853871964321762,1,0.0,2022,2022,2022,Ki,B,1
GMBOTQWDHJOKAM-KESTWPANSA-N,Cn1ncc(CC(=O)N[C@H]2CC[C@H](CCN3CCc4ccc(OCC(C)(F)F)nc4CC3)CC2)n1,10.795880017344075,1,0.0,2023,2023,2023,Ki,B,1
KJOFXQKVGTXQTK-IYARVYRRSA-N,O=C(N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1)c1cccs1,10.698970004336019,1,0.0,1997,1997,1997,Ki,B,1
IVCDUDHUOFADMA-HZCBDIJESA-N,c1ccc(N2CCN(CC[C@H]3CC[C@H](Nc4ncnc5ccccc45)CC3)CC2)cc1,10.698970004336019,1,0.0,1998,1998,1998,Ki,B,1
VICLMFFSPFEHLO-IYARVYRRSA-N,CN1Cc2c(C(=O)N[C@H]3CC[C@H](CCN4CCc5nc(OCC(F)(F)F)sc5CC4)CC3)cccc2C1=O,10.657577319177793,1,0.0,2020,2020,2020,Ki,B,1
JUDKAYYFYVHANR-GUROOMJWSA-N,Cn1cc(/C=C/C(=O)N[C@H]2CC[C@](F)(CCN3CCc4nc(OCC(C)(F)F)sc4CC3)CC2)cn1,10.602059991327963,1,0.0,2023,2023,2023,Ki,B,1
MODBIBJHAWXYOZ-LLVKDONJSA-N,C[C@@H](NC(=O)/N=C(\N)NCCCc1ncn[nH]1)c1ccccc1,10.58838029403677,1,0.0,2021,2021,2021,Kd,B,1
FIEUCLRMVRKRIW-YIQCUVMYSA-N,CC(Oc1nc2c(s1)CCN(CC[C@H]1CC[C@H](NC(=O)c3cccc4c3CN(C)C4=O)CC1)CC2)C(F)(F)F,10.585026652029182,2,0.0,2020,2022,2021,Ki,B,2
KXAOPEMSBPZNPQ-AQYVVDRMSA-N,O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cc2ccccc2[nH]1,10.537602002101044,1,0.0,2016,2016,2016,Ki,B,1
NUMHPTHWXLDEFR-IVHGUIJPSA-N,Cc1cc(CC(=O)N[C@H]2CC[C@](F)(CCN3CCc4ccc(CCC(F)(F)F)nc4CC3)CC2)on1,10.537602002101044,2,0.0,2023,2023,2023,Ki,B,1
IOCBQXGKSWXFPW-QAQDUYKDSA-N,Cc1cc(OCC(=O)N[C@H]2CC[C@H](CCN3CCc4sc(N5CC(F)(F)C5)nc4C3)CC2)no1,10.455931955649724,2,0.0,2020,2022,2021,Ki,B,2
BGQYARRWAJPAOC-KJDSRRNHSA-N,Cc1nnc(CC(=O)N[C@H]2CC[C@](F)(CCN3CCc4ccc(OCC(C)(F)F)nc4CC3)CC2)s1,10.455931955649724,1,0.0,2023,2023,2023,Ki,B,1
ZRSYGNXIJUXTIX-UHFFFAOYSA-N,Cn1cc2c(C(=O)NN3CCC(CCN4CCc5ccc(OCC(F)(F)F)nc5CC4)CC3)cccc2n1,10.4089353929735,1,0.0,2023,2023,2023,Ki,B,1
UCRMCTXHTPNGTQ-WGSAOQKQSA-N,O=S(=O)(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cccs1,10.366531544420413,1,0.0,2016,2016,2016,Ki,B,1
LBCLWNAKMLUAKD-AQYVVDRMSA-N,O=C(Nc1ccccc1)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1,10.366531544420413,1,0.0,2016,2016,2016,Ki,B,1
NQGXAETZRJZODZ-QAQDUYKDSA-N,Cn1ncc(CC(=O)N[C@H]2CC[C@H](CCN3CCc4nc(OCC(C)(F)F)sc4CC3)CC2)n1,10.366531544420413,1,0.0,2023,2023,2023,Ki,B,1
NCNRFJGBWYGCDE-HMRCJKRNSA-N,COc1cc(CC(=O)N[C@H]2CC[C@](F)(CCN3CCc4ccc(OCC(F)F)nc4CC3)CC2)on1,10.356547323513812,1,0.0,2023,2023,2023,Ki,B,1
RBZFRDTUHHOAAN-MXVIHJGJSA-N,CN([C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)S(=O)(=O)c1cccs1,10.337242168318426,1,0.0,2016,2016,2016,Ki,B,1
VZKXQURASTWIAW-AQYVVDRMSA-N,O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccccc1,10.327902142064282,1,0.0,2016,2016,2016,Ki,B,1
MANJQFBEPDLLON-XUTJKUGGSA-N,CCn1c(C(=O)N[C@H]2CC[C@H](CCN3CCc4ccc(OCC(F)(F)F)nc4CC3)CC2)cccc1=O,10.318758762624412,2,0.0,2020,2022,2021,Ki,B,2
PQSCNANWIFBYCN-WKILWMFISA-N,O=C(N[C@H]1CC[C@H](CCN2CCc3nc(OCC(F)(F)F)sc3CC2)CC1)c1cccnc1C(F)F,10.318758762624412,1,0.0,2023,2023,2023,Ki,B,1
KXLVLBLWZFPQLE-RVZUZXSLSA-N,CC(Oc1ccc2c(n1)CCN(CC[C@H]1CC[C@H](NC(=O)c3cccc4nn(C)cc34)CC1)CC2)C(F)F,10.305594293263237,2,0.23041327565988054,2023,2023,2023,Ki,B,1
OJUNMSDCPOWMOQ-WKILWMFISA-N,COc1cc(CC(=O)N[C@H]2CC[C@H](CCN3CCc4sc(N5CC(F)(F)C5)nc4C3)CC2)on1,10.301029995663981,2,0.0,2020,2022,2021,Ki,B,2
OUJINBWEZGZUKQ-IYARVYRRSA-N,O=C(NC[C@H]1CC[C@H](CN2CCN(c3nsc4cc(Cl)ccc34)CC2)CC1)c1ccco1,10.292429823902063,1,0.0,2016,2016,2016,Ki,B,1
ATHTVOQAJYMAOW-IGGCZAQCSA-N,Cc1nc(/C=C/C(=O)N[C@H]2CC[C@H](CCN3CCc4sc(N5CC(F)(F)C5)nc4C3)CC2)cs1,10.292429823902063,2,0.0,2020,2022,2021,Ki,B,2
OQXLAYDVTKONPU-IYARVYRRSA-N,CCC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1,10.2839966563652,1,0.0,2016,2016,2016,Ki,B,1
OCNSHCHKTREKMB-IYARVYRRSA-N,Cc1ncc(CC(=O)N[C@H]2CC[C@H](CCN3CCc4nc(N(C)CC(F)(F)F)sc4CC3)CC2)s1,10.2839966563652,2,0.0,2020,2022,2021,Ki,B,2
DBRVEHQLZZEVFX-MXVIHJGJSA-N,O=C(Nc1cccnc1)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1,10.259637310505756,1,0.0,2016,2016,2016,Ki,B,1
AHJHJVULSVKBEA-WGSAOQKQSA-N,O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cccs1,10.2518119729938,1,0.0,2016,2016,2016,Ki,B,1
WORJIMKQVUMSKB-AJJNSDSGSA-N,Cn1cc(/C=C/C(=O)N[C@H]2CC[C@H](CCN3CCc4nc(OCC(F)(F)F)sc4CC3)CC2)cn1,10.244125144327509,2,0.0,2020,2022,2021,Ki,B,2
ZTKKAIYXNICILE-MXVIHJGJSA-N,O=S(=O)(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cccnc1,10.236572006437063,1,0.0,2016,2016,2016,Ki,B,1
BYJLEOXPONSXOY-IYARVYRRSA-N,CCOC(=O)N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1,10.236572006437063,1,0.0,2016,2016,2016,Ki,B,1
DJOCSUALXFPRDN-UODZTUOZSA-N,COc1cc(/C=C/C(=O)N[C@H]2CC[C@H](CCN3CCc4ccc(OCC(F)F)nc4CC3)CC2)on1,10.236572006437063,1,0.0,2020,2020,2020,Ki,B,1
MPNCNHGPKFXJQG-QAQDUYKDSA-N,COc1cc(CCC(=O)N[C@H]2CC[C@H](CCN3CCc4nc(OCC(F)F)sc4CC3)CC2)on1,10.236572006437063,1,0.0,2022,2022,2022,Ki,B,1
KXRPTGDSBJOKRD-UHFFFAOYSA-N,COC(CN1CCc2sc(OCC(C)(F)F)nc2C1)C1CC2(CC(NC(=O)c3cccc4nn(C)cc34)C2)C1,10.236572006437063,1,0.0,2023,2023,2023,Ki,B,1
PVZYVDCGRBZEMH-IYARVYRRSA-N,Cn1cc2c(C(=O)N[C@H]3CC[C@H](CCN4CCc5nc(OCC(F)(F)F)sc5CC4)CC3)cccc2n1,10.229147988357855,3,0.480202799227652,2020,2022,2022,Ki,B,2
DQPNZJRSJFNUQR-VQTJNVASSA-N,Cn1cc2c(C(=O)N[C@H]3CC[C@H](CCN4CCc5ccc(OCC(F)(F)F)nc5CC4)OC3)cccc2n1,10.229147988357855,1,0.0,2020,2020,2020,Ki,B,1
MTSRJJUOIYINNP-UHFFFAOYSA-N,CCCN(CCN1CCN(c2cccc(Cl)c2Cl)CC1)C1CCc2nc(N)sc2C1,10.221848749616356,1,0.0,2008,2008,2008,EC50,F,1
RLCITMZJUDPBHU-KOAQGZTJSA-N,Cc1cc(CC(=O)N[C@H]2CC[C@H](CCN3C[C@@H]4C[C@]4(c4cc(C(C)(F)F)on4)C3)CC2)on1,10.214670164989233,1,0.0,2022,2022,2022,Ki,B,1
SOMWRASUKKDBSH-HZCBDIJESA-N,Cc1ccc(S(=O)(=O)N[C@H]2CC[C@H](CCN3CCN(c4nsc5ccccc45)CC3)CC2)cc1,10.207608310501746,1,0.0,2016,2016,2016,Ki,B,1
ULLCNVODUCDGBS-PGCGBBBBSA-N,Cn1cc(CC(=O)N[C@H]2CC[C@](F)(CCN3CCc4ccc(OCC(C)(F)F)nc4CC3)CC2)cn1,10.200659450546418,1,0.0,2023,2023,2023,Ki,B,1
ZLSSQJVDFDOQOK-AQYVVDRMSA-N,Cn1cc2c(C(=O)N[C@H]3CC[C@H](CCN4CCc5ccc(OCC(C)(F)F)nc5CC4)CC3)cccc2n1,10.193820026016112,2,0.0,2020,2022,2021,Ki,B,2
HNKSCJOZAQWYMZ-QAQDUYKDSA-N,Cc1ncc(CC(=O)N[C@H]2CC[C@H](CCN3CCc4nc(OCC(F)(F)F)sc4CC3)CC2)s1,10.173925197299173,2,0.0,2020,2022,2021,Ki,B,2
NIFGQHGFOUMQJN-KCWPFWIISA-N,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(-c2ncco2)cc1,10.154901959985743,3,0.2554967882558398,2016,2016,2016,Ki,B;F,1
GYLMYXSRSKKAER-ZVWHWTBFSA-N,Cc1cc(OCC(=O)N[C@H]2CC[C@](F)(CCN3CCc4ccc(OCC(C)(F)F)nc4CC3)CC2)no1,10.154901959985743,1,0.0,2023,2023,2023,Ki,B,1
CHXSNTQDFOAJJK-XUTJKUGGSA-N,Cc1cc(OCC(=O)N[C@H]2CC[C@H](CCN3CCc4ccc(CCC(F)(F)F)nc4CC3)CC2)no1,10.148741651280925,1,0.0,2023,2023,2023,Ki,B,1
QSUZKISJHDJAOP-WKILWMFISA-N,Cn1ncc(CC(=O)N[C@H]2CC[C@H](CCN3CCc4nc(OCC(F)(F)F)sc4CC3)CC2)n1,10.148741651280925,1,0.0,2023,2023,2023,Ki,B,1
OMGQCEITFUGYJF-YEPDHIAXSA-N,CCn1c(C(=O)N[C@H]2CC[C@H](CCN3C[C@@H]4C[C@]4(c4cc(C(C)(F)F)on4)C3)CC2)cccc1=O,10.136677139879545,1,0.0,2022,2022,2022,Ki,B,1
PKOXYVFXXHZYKA-QWFCFKBJSA-N,C[C@@H](Oc1ccc2c(n1)CCN(CC[C@H]1CC[C@H](NC(=O)Cc3cnn(C)n3)CC1)CC2)C(F)(F)F,10.136677139879545,1,0.0,2023,2023,2023,Ki,B,1
OFNJFDWFNZIXMI-KESTWPANSA-N,Cc1cc(OCC(=O)N[C@H]2CC[C@H](CCN3CCc4ccc(OCC(F)(F)F)nc4CC3)CC2)no1,10.1249387366083,2,0.0,2020,2022,2021,Ki,B,2
JMFUJUHOBGECJQ-QAQDUYKDSA-N,CN1Cc2c(C(=O)N[C@H]3CC[C@H](CCN4CCc5sc(OCC(F)(F)F)nc5C4)CC3)cccc2C1=O,10.113509274827518,2,0.0,2020,2022,2021,Ki,B,2
OFWBNRKDYGFFGN-QRTMHTFLSA-N,Cn1ncc(CC(=O)N[C@H]2CC[C@](F)(CCN3CCc4ccc(OCC(F)(F)F)nc4CC3)CC2)n1,10.10790539730952,1,0.0,2023,2023,2023,Ki,B,1
UYNTZKCUFSBUOJ-UHFFFAOYSA-N,CN1Cc2c(C(=O)NC34CCC(CCN5CCc6nc(OCC(F)(F)F)sc6CC5)(CC3)CC4)cccc2C1=O,10.102372908709558,1,0.0,2023,2023,2023,Ki,B,1
BLTQTSIKHDZFTP-QPPLWRQOSA-N,O=C(N[C@H]1CC[C@H](CCN2CCc3sc(N4CC5CC5C4)nc3C2)CC1)c1cccc2ncccc12,10.096910013008056,2,0.0,2020,2022,2021,Ki,B,2
RGWPRPGUMAJABR-YCFKULOQSA-N,Cc1ncc(/C=C/C(=O)N[C@H]2CC[C@](F)(CCN3CCc4ccc(OCC(C)(F)F)nc4CC3)CC2)cn1,10.09151498112135,1,0.0,2023,2023,2023,Ki,B,1
AJKWTVBJXNYTPH-FVUUGDKNSA-N,Cn1ncc(CC(=O)N[C@H]2CC[C@](F)(CCN3CCc4nc(OCC(F)(F)C(F)F)sc4CC3)CC2)n1,10.09151498112135,1,0.0,2023,2023,2023,Ki,B,1
APQHSBNBSWHBSZ-KESTWPANSA-N,Cn1cc2c(C(=O)N[C@H]3CC[C@H](CCN4CC=C(c5nocc5C(C)(F)F)CC4)CC3)cccc2n1,10.086186147616283,1,0.0,2022,2022,2022,Ki,B,1
NIJWMLBNDUWVQH-IYARVYRRSA-N,Cc1cc(CC(=O)N[C@H]2CC[C@H](CCN3CCc4nc(OCC(C)(F)F)sc4CC3)CC2)on1,10.080921907623926,1,0.0,2023,2023,2023,Ki,B,1
YJHMYPHXIJOCOQ-UHFFFAOYSA-N,Cn1cc2c(C(=O)NC34CCC(CCN5CCc6nc(OCC(F)(F)F)sc6CC5)(CC3)CC4)cccc2n1,10.075720713938118,1,0.0,2023,2023,2023,Ki,B,1
YDLWLYDTYNHXBM-UHFFFAOYSA-N,CCCN(CCN1CCN(c2ccc(-c3ccccc3)cc2)CC1)C1CCc2nc(N)sc2C1,10.070581074285707,1,0.0,2008,2008,2008,EC50,F,1
XGFFXWPMGJJBFH-KESTWPANSA-N,Cc1ncc(CC(=O)N[C@H]2CC[C@H](CCN3CCc4ccc(OCC(F)F)nc4CC3)CC2)s1,10.070581074285707,3,0.6419983493467546,2020,2022,2020,Ki,B,2
GKTINDHAZROOEF-XUTJKUGGSA-N,CCC(F)(F)c1conc1C1CCN(CC[C@H]2CC[C@H](NC(=O)c3cccc4nn(C)cc34)CC2)CC1,10.070581074285707,1,0.0,2022,2022,2022,Ki,B,1
MLURUQHLUHYMEL-YVWKXTFCSA-N,Cc1nnc(CC(=O)N[C@H]2CC[C@H](CCN3CCc4ccc(O[C@H](C)C(F)(F)F)nc4CC3)CC2)s1,10.070581074285707,1,0.0,2023,2023,2023,Ki,B,1
WZQXXUHEORDTMN-LEWJYISDSA-N,CCN1Cc2c(C(=O)N[C@H]3CC[C@H](CCN4CCc5ccc(OCC(F)(F)F)nc5CC4)OC3)cccc2C1=O,10.065501548756432,2,0.0,2020,2022,2021,Ki,B,2
WAZOEZSHZLLENC-KLYXCBONSA-N,Cc1ncc(/C=C/C(=O)N[C@H]2CC[C@H](CCN3CCc4nc(OC5CC(F)(F)C5)sc4CC3)CC2)cn1,10.065501548756432,1,0.0,2023,2023,2023,Ki,B,1
RGWGDYMUCXDODX-XUTJKUGGSA-N,O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cccnc1,10.045757490560675,1,0.0,2016,2016,2016,Ki,B,1
PUVBZHHLUFJVIL-SAABIXHNSA-N,Cn1cc(CC(=O)N[C@H]2CC[C@H](CCN3CCc4nc(OCC(C)(F)F)sc4CC3)CC2)c(F)n1,10.045757490560675,1,0.0,2023,2023,2023,Ki,B,1
SFIXZGTVVWNOSY-QRFRQXIXSA-N,Cc1nnc(CC(=O)N[C@H]2CC[C@H](CCN3CCc4ccc(O[C@@H](C)C(F)(F)F)nc4CC3)CC2)o1,10.045757490560675,1,0.0,2023,2023,2023,Ki,B,1
IJKACRJOPXDGDS-UHFFFAOYSA-N,Cn1cc2c(C(=O)NC3CC4(CC(CCN5CCc6sc(OCC(C)(F)F)nc6C5)C4)C3)cccc2n1,10.036212172654444,2,0.0,2020,2022,2021,Ki,B,2
KMIIKERMEYOZTK-PGWJBFNOSA-N,O=C(N[C@H]1CC[C@H](CCN2CCC(c3nocc3-c3cccc(F)c3)CC2)CC1)c1cccc2ncccc12,10.031517051446064,1,0.0,2022,2022,2022,Ki,B,1
