inchikey,SMILES,pAct,n_records,sd,year_min,year_max,year_median,types,assay_types,n_documents
CVOOKMZXIFWORK-UHFFFAOYSA-N,Cn1cc(-c2ccc(N3CCC(n4ccc5ccc(C(F)(F)F)cc54)CC3)nn2)cn1,6.761953896871205,1,0.0,2015,2015,2015,IC50,B,1
ZICOCMKZEGRURQ-UHFFFAOYSA-N,O=C1CCCN1c1cnc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)s1,6.7594507517174005,1,0.0,2010,2010,2010,IC50,B,1
CKIBNNYWZAXTRH-UHFFFAOYSA-N,O=C(NCc1ccccc1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,6.756077439944282,2,0.8925649139963155,2013,2017,2015,IC50,B,2
IDPZZOYWDBJFMQ-UHFFFAOYSA-N,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC(C(=O)c3ccccc3)CC2)nn1,6.750596696532316,2,0.3054412059495647,2010,2010,2010,IC50,B,1
KGOWKWHCNZUWNN-UHFFFAOYSA-N,O=C(NCc1nccs1)c1ccc2[nH]c(-c3ccc(C(=O)c4ccccc4C(F)(F)F)cc3)nc2c1,6.747146969020107,1,0.0,2013,2013,2013,IC50,B,1
MQCJMILDOYNHBF-UHFFFAOYSA-N,COc1ccc(-c2nc3ccc(NCc4cc(C(F)(F)F)ccn4)nc3n(CCNC(C)=O)c2=O)cc1,6.7447274948966935,1,0.0,2009,2009,2009,IC50,B,1
QBWYZAHJEFWQPF-UHFFFAOYSA-N,O=C(CO)Nc1ccc2c(=O)n(Cc3ccc(Cl)c(Cl)c3)cnc2c1,6.7447274948966935,1,0.0,2009,2009,2009,IC50,B,1
ZKGOKZNJBOOPRT-UHFFFAOYSA-N,Cn1cc(-c2ccc(N3CCC(n4ccc5cc(Cl)ccc54)CC3)nn2)cn1,6.7423214251308154,1,0.0,2015,2015,2015,IC50,B,1
ZWSJMIXLKNUYHN-UHFFFAOYSA-N,O=C(O)Cn1nnc(-c2cnc(N3CCC4(CC3)NC(=O)c3ccccc3O4)s2)n1,6.7423214251308154,1,0.0,2015,2015,2015,IC50,B,1
XGPFKIMMYZLFJE-UHFFFAOYSA-N,Cc1ncc2sc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)nc2n1,6.739928612014925,1,0.0,2011,2011,2011,IC50,B,1
KJEZWGPCFJGYEN-UHFFFAOYSA-N,O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(-c2cnco2)on1,6.7258421507363195,1,0.0,2021,2021,2021,IC50,B,1
PIJPVFQPQJPMBA-UHFFFAOYSA-N,N#CC1(c2ccccc2)CCN(c2ccc(-c3nc(CO)no3)nn2)CC1,6.721246399047171,1,0.0,2017,2017,2017,IC50,B,1
MXIDILPNRNAQBQ-UHFFFAOYSA-N,O=C(Nc1cnn(Cc2cccc(F)c2)c1)c1cc(-c2cncs2)on1,6.721246399047171,1,0.0,2021,2021,2021,IC50,B,1
DZQSFRXJJGQWBU-UHFFFAOYSA-N,Cc1ccn(-c2nc(C)c(C(=O)NCc3ccccc3)s2)c(=O)c1,6.718966632752272,1,0.0,2014,2014,2014,IC50,B,1
