inchikey,SMILES,pAct,n_records,sd,year_min,year_max,year_median,types,assay_types,n_documents
UGRUVQBETHORJS-UHFFFAOYSA-N,CC(C)(C)c1nc(N2CCN(CCCCNC(=O)N3CCN(c4ccccc4)C(=O)C3)CC2)cc(C(F)(F)F)n1,6.016824927962187,2,0.0,2017,2018,2017,Ki,B,2
SYEUZBHYJOPLBK-QGOAFFKASA-N,O=C(/C=C/c1ccccc1)NCCCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,6.016373712875465,1,0.0,2007,2007,2007,Ki,B,1
HRFJJRGWVMXDND-UHFFFAOYSA-N,OC(CCn1cc(-c2ccc3[nH]ccc3c2)nn1)CN1CCN(c2cccc(Cl)c2Cl)CC1,6.016373712875465,1,0.0,2015,2015,2015,Ki,B,1
FYHOSCUNTXUTGZ-UHFFFAOYSA-N,O=c1c(-c2ccc(F)cc2)c2ccccn2c(=O)n1CCCCN1CCCC(c2c[nH]c3ccccc23)C1,6.016373712875465,1,0.0,2019,2019,2019,Ki,B,1
USOMZJJKRPELBV-UHFFFAOYSA-N,COc1cc2c3c(c1OC1CC1)-c1cc(N)ccc1CC3N(C)CC2,6.016373712875465,1,0.0,2020,2020,2020,Ki,B,1
GMCJUANYGWCBDC-UHFFFAOYSA-N,Clc1cccc(N2CCN(CCCCNCCC3(c4ccccn4)CCOCC3)CC2)c1Cl,6.016373712875465,1,0.0,2023,2023,2023,Ki,B,1
TULCHGQYHOEOOE-CCEZHUSRSA-N,COc1ccccc1N1CCN(CCCCc2cc(/C=C/c3ccccc3)no2)CC1,6.015922966097169,1,0.0,2002,2002,2002,Ki,B,1
QWSLRVUGOHVJKP-IFMALSPDSA-N,COc1ccc2c(c1)[C@H]1OCCN(CCCCNC(=O)c3ccc(Cl)cc3)[C@@H]1CO2,6.014573525916998,1,0.0,2021,2021,2021,Ki,B,1
DSUVZVBZNSPSQB-UHFFFAOYSA-N,COc1cc(CCN2CCC(O)(c3ccc(Cl)cc3)CC2)ccc1OCCCSSCCN,6.01343607320015,2,0.019001476944690354,2017,2017,2017,Ki,B,1
OLRDLGNPSAUGKS-UHFFFAOYSA-N,Clc1ccc(N2CCCN(Cc3c[nH]c4ncccc34)CC2)cc1,6.013228265733755,1,0.0,2009,2009,2009,Ki,B,1
PAAYROHKUKZSEG-UHFFFAOYSA-N,Cc1cc(N2CCN(CCCCNC(=O)C3CCN(c4ccc(C(F)(F)F)cn4)CC3)CC2)nc(C(C)(C)C)n1,6.013228265733755,2,0.0,2017,2018,2017,Ki,B,2
HSCUDLWMSFZPQC-SMQSCJQKSA-N,Cc1ncc(CC(=O)N[C@H]2CC[C@](F)(CCN3CCc4nc(OCC(C)(F)F)sc4CC3)CC2)o1,6.013228265733755,1,0.0,2023,2023,2023,Ki,B,1
RTOJMLUBCKNAEH-UHFFFAOYSA-N,CCCC(Sc1cc(Cl)ccc1Cl)c1nc(N)nc(N2CCN(C)CC2)n1,6.012780770091995,1,0.0,2023,2023,2023,Ki,B,1
GJFBEHIWIGLENN-VHEBQXMUSA-N,COc1ccccc1C(c1ccccc1OC)N1CCN(CCCCNC(=O)/C=C/c2ccccc2)CC1,6.012333735073725,1,0.0,2007,2007,2007,Ki,B,1
JCVRULBFKAIIAS-UHFFFAOYSA-N,O=C1c2cncnc2CCN1CCN1CCC(c2noc3ccccc23)CC1,6.011887159731648,2,0.0,2020,2022,2021,Ki,B,2
OYYAWRVAKORPPE-SSDMNJCBSA-N,COC1=CC2C[C@@H]3c4cc(O)c(OC)cc4CCN3CC2C=C1O,6.011430971972711,2,0.19591916528512457,2024,2024,2024,Ki,B,1
GWZPCOVXCOPKJA-UHFFFAOYSA-N,Cc1cc(C)c2c(N)c(C(=O)NCCCCCCN3CCC(O)(c4ccc(Cl)cc4)CC3)sc2n1,6.010497074633401,2,0.000704716290835186,2014,2014,2014,Ki,B,1
GPDZHKOGLHALQL-XMSQKQJNSA-N,Cn1c(SCCCN2CC[C@@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cnccn1,6.010105436281227,1,0.0,2019,2019,2019,Ki,B,1
ZRQADOCXGLFZJC-OXJNMPFZSA-N,Cn1c(SCCCN2C[C@@H]3CCN(c4c(F)cc(F)cc4F)[C@@H]3C2)nnc1-c1ccn(C)c(=O)c1,6.010105436281227,2,0.0,2019,2020,2019,Ki,B,2
GWXIZHPBMCIUCC-UHFFFAOYSA-N,Cc1ncoc1-c1nnc(SCCCN2CC3OCCN(c4ccc(C(F)(F)F)cc4)C3C2)n1C,6.010105436281227,2,0.0,2019,2020,2019,Ki,B,2
