inchikey,SMILES,pAct,n_records,sd,year_min,year_max,year_median,types,assay_types,n_documents
HRPYLLLWDCANGS-UVNMLMKLSA-N,C[C@@H](O)[C@@H]1NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,7.552841968657781,1,0.0,1996,1996,1996,IC50,B,1
NMVYIQDSADIRCD-RWFBHVPDSA-N,C[C@@H](O)[C@@H]1NC(=O)[C@H](Cc2ccc(F)cc2)C2C(=O)[C@@H](Cc3c2[nH]c2ccccc32)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCC2C(=O)[C@H](Cc2ccccc2)NC1=O,7.552841968657781,1,0.0,2000,2000,2000,IC50,B,1
DLHLGXBLKOJKKI-UHFFFAOYSA-N,O=C(CN(N1CCN(Cc2ccccc2)CC1)N1CCN(Cc2ccccc2)CC1)N1CCN(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC1c1ccc(Cl)c(Cl)c1,7.552841968657781,1,0.0,2002,2002,2002,Ki,B,1
SJKYOVFCBLAVEU-NDPVAKIZSA-N,Fc1ccc([C@@H]2NCCOC23CC[C@@H](c2ccccc2C(F)(F)F)CO3)cc1,7.552841968657781,1,0.0,2002,2002,2002,Ki,B,1
CZPWZLLKNSCBBA-UHFFFAOYSA-N,Cc1cc(C)cc(CN(C)C(=O)Nc2c(-c3ccccc3)c3cc(C)c(C)cc3c(=O)n2C)c1,7.552841968657781,1,0.0,1995,1995,1995,IC50,B,1
PYXASHMZLWIZKY-VBHBFSRDSA-N,C[C@H]1CN(CC[C@H](C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ccc(F)cc2)CC[C@@]12C=Cc1ccccc12,7.552841968657781,1,0.0,2006,2006,2006,IC50,B,1
SJKYOVFCBLAVEU-UIAACRFSSA-N,Fc1ccc([C@@H]2NCCO[C@@]23CC[C@@H](c2ccccc2C(F)(F)F)CO3)cc1,7.552841968657781,1,0.0,2021,2021,2021,IC50,B,1
SVHVLAGNGAWUQU-SVBPBHIXSA-N,c1ccc(CN[C@H]2C3CCN(CC3)[C@H]2C(c2ccccc2)c2ccccc2)cc1,7.540004743952609,5,1.3111737001555421,1991,1998,1993,IC50,B,5
GHIDKVHNTGDVEL-XDBZFTIUSA-N,C[C@H](NC(=O)[C@@](C)(Cc1c[nH]c2ccccc12)NC(=O)OCc1ccc(Cl)c(Cl)c1)c1ccccc1,7.540004743952609,1,0.0,1995,1995,1995,IC50,B,1
BINXDUAGTLDZSD-IOWSJCHKSA-N,Cc1cc(C)cc(C(=O)N2CC[C@H](NCc3ccnc4ccccc34)C[C@H]2Cc2cccc3ccccc23)c1,7.537602002101044,1,0.0,1996,1996,1996,IC50,B,1
