inchikey,year,standard_type,pAct
AADCDMQTJNYOSS-LBPRGKRZSA-N,2003,Ki,9.795880
AADCDMQTJNYOSS-LBPRGKRZSA-N,2014,Ki,9.872895
AADCDMQTJNYOSS-LBPRGKRZSA-N,2016,Ki,9.958607
AADCDMQTJNYOSS-LBPRGKRZSA-N,2021,Ki,9.970616
AADWBQLQKGQDIM-UHFFFAOYSA-N,2010,Ki,8.376751
AAELEHAFAYIZRH-KDURUIRLSA-N,2016,Ki,8.638272
AAELEHAFAYIZRH-WGSAOQKQSA-N,2016,Ki,9.886057
AAELEHAFAYIZRH-WGSAOQKQSA-N,2016,IC50,8.856985
AAIDTVFHOXBFSJ-SJLPKXTDSA-N,1997,Ki,6.900009
AAONJNLMLWRZJE-UHFFFAOYSA-N,2010,Ki,7.400008
AAONJNLMLWRZJE-UHFFFAOYSA-N,2010,Ki,8.199971
AAONJNLMLWRZJE-UHFFFAOYSA-N,2010,Ki,9.000000
AAPCMUAAQFZHRZ-IPJJNNNSSA-N,2014,Ki,7.829738
AAPCMUAAQFZHRZ-IPJJNNNSSA-N,2014,Ki,7.829738
AAPCMUAAQFZHRZ-WOIUINJBSA-N,2014,Ki,8.238824
AAPCMUAAQFZHRZ-WOIUINJBSA-N,2014,Ki,8.238824
AAPXNHMQKBDDJN-AVRDEDQJSA-N,2016,Ki,7.550059
AAPXNHMQKBDDJN-AVRDEDQJSA-N,2016,Ki,7.599980
AAPXNHMQKBDDJN-GCJKJVERSA-N,2016,Ki,6.099999
AAPXNHMQKBDDJN-GCJKJVERSA-N,2016,Ki,7.750068
AAPXNHMQKBDDJN-PGRDOPGGSA-N,2016,Ki,8.260032
AAPXNHMQKBDDJN-PGRDOPGGSA-N,2016,Ki,8.179996
AAPXNHMQKBDDJN-XMSQKQJNSA-N,2016,Ki,7.379968
AARWRAFDYZSYPD-UHFFFAOYSA-N,2007,Ki,8.369979
AARWZLCCVAYIQN-UHFFFAOYSA-N,2020,Ki,6.659953
AASBFJIEFSDMGW-VHPWLNBFSA-N,2023,Ki,9.657577
AAUYCVIXPYMWAL-LBZQVFOQSA-N,2014,Ki,8.231584
AAUYCVIXPYMWAL-LBZQVFOQSA-N,2014,Ki,8.231584
AAYMNPGQEZYHNE-UHFFFAOYSA-N,2010,Ki,8.327902
ABHVAQKOVOLZPM-QAQDUYKDSA-N,2013,Ki,7.552842
ABKVEMFUXMVUSG-WGSAOQKQSA-N,2013,Ki,7.812479
ABNHJZFZKGLSKZ-UHFFFAOYSA-N,2020,Ki,8.289883
ABNWTYHEAATIEC-UHFFFAOYSA-N,2007,Ki,9.160019
ABOBMBIQQPJTMJ-UHFFFAOYSA-N,2018,Ki,5.879999
ABOBMBIQQPJTMJ-UHFFFAOYSA-N,2022,Ki,5.879999
ABOBMBIQQPJTMJ-UHFFFAOYSA-N,2025,Ki,5.879999
ABOWDNIHZHLENL-UHFFFAOYSA-N,2008,Ki,6.599998
ABOYXIDEOWOTGI-AQYVVDRMSA-N,2013,Ki,8.145694
ABOYXIDEOWOTGI-AQYVVDRMSA-N,2013,Ki,8.145694
ABPMRHGOCCQDFC-UHFFFAOYSA-N,2013,Ki,5.721475
ABRFKTAFRQVZBR-UHFFFAOYSA-N,1995,Ki,8.721246
ABSKTFYOWZQKEU-LBEPJEHYSA-N,2009,Ki,7.299989
ABVUWVBSAIPHQT-UHFFFAOYSA-N,2020,Ki,6.280006
ABWRXTVIPWIMTE-UHFFFAOYSA-N,2008,Ki,7.700057
ABXIURKZPIWOPL-UHFFFAOYSA-N,2007,EC50,5.882066
ABXQTPKTPDAAGS-XGAFWQRZSA-N,2023,Ki,9.420216
ACAWRKNKSILJBW-UVXAETBJSA-N,2013,Ki,8.118615
ACAWRKNKSILJBW-UVXAETBJSA-N,2013,Ki,8.118615
ACDYFMOSSUKHJD-HSZRJFAPSA-N,2010,Ki,9.083546
ACDYFMOSSUKHJD-QHCPKHFHSA-N,2010,Ki,9.083546
ACDYFMOSSUKHJD-UHFFFAOYSA-N,2008,Ki,9.086186
ACDYFMOSSUKHJD-UHFFFAOYSA-N,2008,Ki,7.735182
ACDYFMOSSUKHJD-UHFFFAOYSA-N,2008,Ki,9.096910
ACDYFMOSSUKHJD-UHFFFAOYSA-N,2008,EC50,9.920819
ACEAZRLEPRIAMD-WGSAOQKQSA-N,2013,Ki,7.316953
ACFIBJLBHXWBFG-UHFFFAOYSA-N,2010,Ki,6.900009
ACHQQXOLWIKHRK-UHFFFAOYSA-N,2006,Ki,6.070581
