drd2	ABXZOXDTHTTZJW-UHFFFAOYSA-N	1997	Ki	5.468521
drd2	ACAWRKNKSILJBW-UVXAETBJSA-N	2013	Ki	6.781464
drd2	ACDYFMOSSUKHJD-HSZRJFAPSA-N	2010	Ki	7.585027
drd2	ACDYFMOSSUKHJD-QHCPKHFHSA-N	2010	Ki	7.585027
drd2	ACDYFMOSSUKHJD-UHFFFAOYSA-N	2008	EC50	8.653647
drd2	ACDYFMOSSUKHJD-UHFFFAOYSA-N	2008	Ki	6.623423
drd2	ACDYFMOSSUKHJD-UHFFFAOYSA-N	2008	Ki	7.232102
drd2	ACDYFMOSSUKHJD-UHFFFAOYSA-N	2008	Ki	7.585027
drd2	ACEAZRLEPRIAMD-WGSAOQKQSA-N	2013	Ki	5.636764
drd2	ACFIBJLBHXWBFG-UHFFFAOYSA-N	2010	Ki	6.399997
drd2	ACHQQXOLWIKHRK-UHFFFAOYSA-N	2006	Ki	5.958607
drd2	ACHQQXOLWIKHRK-UHFFFAOYSA-N	2006	Ki	6.148742
drd2	ACIMQSDLIYUKRE-AQYVVDRMSA-N	2017	Ki	9.494850
drd2	ACIMQSDLIYUKRE-AQYVVDRMSA-N	2017	Ki	9.494850
drd2	ACIMQSDLIYUKRE-GRGXKFILSA-N	2017	Ki	8.761954
drd2	ACIMQSDLIYUKRE-GRGXKFILSA-N	2017	Ki	8.761954
drd2	ACJNHQLAGNWKBM-UHFFFAOYSA-N	2010	Ki	8.200659
drd2	ACKGCCXJFAZCFF-UHFFFAOYSA-N	2006	Ki	6.657577
drd2	ACKGCCXJFAZCFF-UHFFFAOYSA-N	2006	Ki	6.853872
drd2	ACKJXZGTUCARLB-KNQAVFIVSA-N	2016	Ki	5.809999
drd2	ACKJXZGTUCARLB-UGKGYDQZSA-N	2016	Ki	5.589999
drd2	ACOHJTDLJUVDNX-AQYVVDRMSA-N	1997	Ki	7.823909
drd2	ACOZPXLCYUQMHS-UHFFFAOYSA-N	2018	IC50	8.044793
drd2	ACOZPXLCYUQMHS-UHFFFAOYSA-N	2020	Ki	8.537602
drd2	ACOZVIRGPCYPPB-UHFFFAOYSA-N	2019	IC50	7.244888
drd2	ACSUMENHCIMTQG-QHCPKHFHSA-N	2018	Ki	8.000000
drd2	ACTVOFFLDWZANE-NSISKUIASA-N	2005	Ki	7.214670
drd2	ACUOSRXKTFDQLE-IOWSJCHKSA-N	2023	Ki	6.060481
drd2	ACVXRXJQYWHUND-UHFFFAOYSA-N	1997	Ki	7.214670
drd2	ACVXRXJQYWHUND-UHFFFAOYSA-N	2005	Ki	7.209996
drd2	ACWOUFNDQFUXQN-UHFFFAOYSA-N	2009	IC50	6.318759
drd2	ACWOUFNDQFUXQN-UHFFFAOYSA-N	2009	Ki	7.718967
drd2	ACWQOQSFTNXQMA-UHFFFAOYSA-N	2019	Kd	8.470057
drd2	ACWQOQSFTNXQMA-UHFFFAOYSA-N	2019	Ki	8.450016
drd2	ACYCBNFGNBHQEP-YHBQERECSA-N	2007	Ki	7.259637
drd2	ACYCBNFGNBHQEP-YHBQERECSA-N	2007	Ki	7.259637
drd2	ACYCBNFGNBHQEP-ZRZAMGCNSA-N	2007	Ki	6.782516
drd2	ACYCBNFGNBHQEP-ZRZAMGCNSA-N	2007	Ki	6.841638
drd2	ACZCVZUKGWGYJX-UHFFFAOYSA-N	2008	Ki	7.657577
drd2	ADAZZWTYEBRRHE-UHFFFAOYSA-N	2009	Ki	5.537602
