inchikey,year,standard_type,pAct
ACJNHQLAGNWKBM-UHFFFAOYSA-N,2010,Ki,8.200659
ACKGCCXJFAZCFF-UHFFFAOYSA-N,2006,Ki,6.657577
ACKGCCXJFAZCFF-UHFFFAOYSA-N,2006,Ki,6.853872
ACKJXZGTUCARLB-KNQAVFIVSA-N,2016,Ki,5.809999
ACKJXZGTUCARLB-UGKGYDQZSA-N,2016,Ki,5.589999
ACOHJTDLJUVDNX-AQYVVDRMSA-N,1997,Ki,7.823909
ACOZPXLCYUQMHS-UHFFFAOYSA-N,2018,IC50,8.044793
ACOZPXLCYUQMHS-UHFFFAOYSA-N,2020,Ki,8.537602
ACOZVIRGPCYPPB-UHFFFAOYSA-N,2019,IC50,7.244888
ACSUMENHCIMTQG-QHCPKHFHSA-N,2018,Ki,8.000000
ACTVOFFLDWZANE-NSISKUIASA-N,2005,Ki,7.214670
ACUOSRXKTFDQLE-IOWSJCHKSA-N,2023,Ki,6.060481
ACVXRXJQYWHUND-UHFFFAOYSA-N,1997,Ki,7.214670
ACVXRXJQYWHUND-UHFFFAOYSA-N,2005,Ki,7.209996
ACWOUFNDQFUXQN-UHFFFAOYSA-N,2009,Ki,7.718967
ACWOUFNDQFUXQN-UHFFFAOYSA-N,2009,IC50,6.318759
ACWQOQSFTNXQMA-UHFFFAOYSA-N,2019,Kd,8.470057
ACWQOQSFTNXQMA-UHFFFAOYSA-N,2019,Ki,8.450016
ACYCBNFGNBHQEP-YHBQERECSA-N,2007,Ki,7.259637
ACYCBNFGNBHQEP-YHBQERECSA-N,2007,Ki,7.259637
ACYCBNFGNBHQEP-ZRZAMGCNSA-N,2007,Ki,6.841638
ACYCBNFGNBHQEP-ZRZAMGCNSA-N,2007,Ki,6.782516
ACZCVZUKGWGYJX-UHFFFAOYSA-N,2008,Ki,7.657577
ADAZZWTYEBRRHE-UHFFFAOYSA-N,2009,Ki,5.537602
ADAZZWTYEBRRHE-UHFFFAOYSA-N,2009,Ki,5.585027
ADCYPKNNPPDYMB-ORQYLMBXSA-N,2022,Ki,5.958607
ADDKZOUNFAZVBP-DZNWXHPMSA-N,2020,Ki,6.982967
ADDKZOUNFAZVBP-DZNWXHPMSA-N,2021,Ki,7.064493
ADDKZOUNFAZVBP-NVNZTLJMSA-N,2021,Ki,6.958607
ADDORVGWJJXKFK-AFARHQOCSA-N,2013,Ki,5.530031
ADETWEPXXIGKFW-UHFFFAOYSA-N,2009,Ki,5.310000
ADFNMOVNQSHFOR-RUCARUNLSA-N,2023,Ki,7.202040
ADFNMOVNQSHFOR-RUCARUNLSA-N,2023,Ki,7.199971
ADFNMOVNQSHFOR-RUCARUNLSA-N,2023,EC50,8.167491
ADFNMOVNQSHFOR-RUCARUNLSA-N,2023,EC50,8.169989
ADFNMOVNQSHFOR-RUCARUNLSA-N,2023,EC50,8.389340
ADFNMOVNQSHFOR-RUCARUNLSA-N,2023,EC50,8.389979
ADGRZRHCVXPKAN-UHFFFAOYSA-N,2016,Ki,8.248721
ADKPDCJUAOTYGJ-UHFFFAOYSA-N,2019,Ki,6.301030
ADKPDCJUAOTYGJ-UHFFFAOYSA-N,2019,Ki,6.420216
ADLYXAHODXNVQT-UHFFFAOYSA-N,2006,Ki,6.468521
ADLYXAHODXNVQT-UHFFFAOYSA-N,2006,Ki,6.468521
ADLYXAHODXNVQT-UHFFFAOYSA-N,2006,Ki,6.468521
ADUUVPPWHWVJFK-UHFFFAOYSA-N,2015,Ki,7.510042
ADUUVPPWHWVJFK-UHFFFAOYSA-N,2015,Ki,7.270835
ADUYXHYSTCIMEO-UHFFFAOYSA-N,2016,Ki,6.872895
ADUYXHYSTCIMEO-UHFFFAOYSA-N,2016,Ki,6.869988
ADVQAEICXAHZOY-IPJJNNNSSA-N,2021,Ki,8.236572
ADWCVCJMIQYGTM-UHFFFAOYSA-N,2016,Ki,5.558148
AECUHGGFVKDBMH-UHFFFAOYSA-N,2000,Ki,5.403403
AECUHGGFVKDBMH-UHFFFAOYSA-N,2002,Ki,5.402305
AEEFPFZMNZVYPW-UHFFFAOYSA-N,2013,Ki,8.236572
AEGDITSWVZEWFA-UHFFFAOYSA-N,2016,Ki,4.098923
AEJCTJSNUNXYQL-YHBQERECSA-N,2007,Ki,7.026872
AEJCTJSNUNXYQL-ZRZAMGCNSA-N,2007,Ki,6.749580
AEKRAVIJSVJVBT-UHFFFAOYSA-N,2007,Ki,6.752027
AEKRAVIJSVJVBT-UHFFFAOYSA-N,2021,Ki,6.752027
AELYPESLFOQFTR-UHFFFAOYSA-N,2017,Ki,6.850781
AENACYRRZFSOSG-UHFFFAOYSA-N,1994,Ki,5.853872
AENHFZZMNBETCL-UHFFFAOYSA-N,2016,Ki,7.500038
AENHFZZMNBETCL-UHFFFAOYSA-N,2019,Ki,7.459671
AENHFZZMNBETCL-UHFFFAOYSA-N,2020,Ki,7.459671
AENWLGXTORARIE-UHFFFAOYSA-N,2015,Ki,7.365523
AENWLGXTORARIE-UHFFFAOYSA-N,2015,EC50,5.000000
AENWLGXTORARIE-UHFFFAOYSA-N,2015,IC50,7.200659
AEQDJSLRWYMAQI-KRWDZBQOSA-N,2017,Ki,5.948847
AEQDJSLRWYMAQI-KRWDZBQOSA-N,2019,IC50,6.346787
AEQDJSLRWYMAQI-KRWDZBQOSA-N,2024,Ki,6.411168
AEQMAVWTHJZYEX-UHFFFAOYSA-N,1993,Ki,4.494850
AERBGYMOICIFRM-MRXNPFEDSA-N,1996,Ki,6.605548
AERWLNZHDGJKMO-MRXNPFEDSA-N,2002,Ki,6.970616
AEUDDHALUDWNEZ-UHFFFAOYSA-N,2010,Ki,6.399997
AEVXOGLKVVRZCX-UHFFFAOYSA-N,2007,Ki,5.757707
AEVXOGLKVVRZCX-UHFFFAOYSA-N,2007,Ki,6.425969
AEXFOTSQBUVBKJ-PGRDOPGGSA-N,2010,Ki,6.299998
AFAMVWBXPZJINL-JCNLHEQBSA-N,2019,EC50,8.522879
AFAMVWBXPZJINL-JCNLHEQBSA-N,2019,EC50,8.397940
AFAMVWBXPZJINL-JCNLHEQBSA-N,2019,EC50,8.550059
AFAMVWBXPZJINL-JCNLHEQBSA-N,2019,EC50,8.389979
AFDHKRHSWWMNFN-UHFFFAOYSA-N,2019,Ki,6.917215
AFECYHQHVIVPNI-UHFFFAOYSA-N,2004,Ki,7.619789
AFECYHQHVIVPNI-UHFFFAOYSA-N,2004,Ki,6.863279
AFKGLNWCCRQRMJ-HNNXBMFYSA-N,2020,Ki,6.086716
AFKRYMMWFODFAD-CSKARUKUSA-N,2000,Ki,6.199998
AFKRYMMWFODFAD-CSKARUKUSA-N,1999,Ki,6.199998
AFLPJFUVXSSHKS-UHFFFAOYSA-N,2002,Ki,5.691009
AFNNYMZEMGROFW-UHFFFAOYSA-N,2022,Ki,6.522879
AFRMZBRXLCZGJQ-UHFFFAOYSA-N,2017,Ki,5.894831
AFRMZBRXLCZGJQ-UHFFFAOYSA-N,2018,Ki,5.894831
AFTMDSQMJPSVNL-UHFFFAOYSA-N,2002,Ki,5.832683
AFTOBIAKNPTOEU-UHFFFAOYSA-N,2019,Ki,5.789949
AFUKYYCEJQNSBL-IYARVYRRSA-N,2020,Ki,6.000000
AFUKYYCEJQNSBL-IYARVYRRSA-N,2022,Ki,6.000000
AFUSDDXNVRXJFU-KJDSRRNHSA-N,2023,Ki,5.958607
AFWAVLNIGSUCHI-HNNXBMFYSA-N,2016,Ki,6.193820
AFWAVLNIGSUCHI-HNNXBMFYSA-N,2016,Ki,6.366532
