inchikey,year,standard_type,pAct
AMMYHLCZPFCXBC-MNUNUEIXSA-N,2006,IC50,6.698970
AMSYJCKYQVDRSP-UHFFFAOYSA-N,2002,Ki,6.290001
AMWBDZUOJRHESG-UHFFFAOYSA-N,2001,IC50,8.259637
AMYNKJAEPXTVQR-QFIPXVFZSA-N,1998,IC50,5.630000
AMYNKJAEPXTVQR-UHFFFAOYSA-N,1994,IC50,5.632085
ANCCACIMFBJXGH-ALHJQXIUSA-N,2002,IC50,6.602060
ANCCACIMFBJXGH-OZIXAUCHSA-N,2002,IC50,8.200659
ANCRAJKTKYCZOD-UHFFFAOYSA-N,2002,Ki,8.148742
ANNTYLPRTLHHJC-OEVJMKQVSA-N,2006,IC50,9.096910
ANPYOUVKUYVENR-UHFFFAOYSA-N,2006,Ki,8.698970
ANSDKCGTAPTVGF-OUPRXKBMSA-N,2010,Ki,9.481486
ANWNICGWIMZWIK-UPKFDLETSA-N,2007,Ki,9.148742
ANWNICGWIMZWIK-UPKFDLETSA-N,2007,IC50,8.540005
ANZFXGLNFJTREE-DHLKQENFSA-N,1995,Ki,9.100015
AOCBCZSDWBMPHN-UHFFFAOYSA-N,2017,IC50,8.304518
AOCBCZSDWBMPHN-UHFFFAOYSA-N,2018,IC50,8.304518
AOFHRGLJDIIBPP-SAYLLPIZSA-N,2010,IC50,10.045757
AOFHRGLJDIIBPP-SAYLLPIZSA-N,2010,IC50,8.494850
AOHIJPJMMHXDHP-GGPBTZDJSA-N,2002,Ki,8.552842
AOUOEYLYUIJTPB-UHFFFAOYSA-N,1994,IC50,8.013228
APJYAVYSAZEVQB-UHFFFAOYSA-N,2013,IC50,7.537602
APJZDXPRSIKPNZ-KGHBKMJJSA-N,2002,Ki,9.096910
APNBVGOWKCRABK-UHFFFAOYSA-N,2000,IC50,7.795880
ARDKXDPBRYTTRZ-AREMUKBSSA-N,2006,Ki,8.599980
ARDKXDPBRYTTRZ-AREMUKBSSA-N,2006,Kd,8.899974
ARGUIKFIPCGABR-HOGWAELTSA-N,2000,Ki,7.619789
ARKKFYUXHFNQLU-LQJZCPKCSA-N,1998,Ki,8.142668
ARPMRCPKTHXPNZ-VXKWHMMOSA-N,2011,IC50,10.075721
ASGWHETWQGYRFP-MGPCXNFUSA-N,2002,IC50,8.275724
ASSBEMCEDOONKS-UHFFFAOYSA-N,2002,Kd,8.500038
ASUKIWYLLAJHAW-ICSRJNTNSA-N,1995,Ki,9.899974
ASXZZPJDUJGTRI-JSKGAOECSA-N,2001,Ki,7.886057
ATALOFNDEOCMKK-OITMNORJSA-N,1998,IC50,10.045757
ATALOFNDEOCMKK-OITMNORJSA-N,2001,IC50,10.045757
ATALOFNDEOCMKK-OITMNORJSA-N,2002,IC50,10.000000
ATALOFNDEOCMKK-OITMNORJSA-N,2000,IC50,10.045757
ATALOFNDEOCMKK-OITMNORJSA-N,2006,IC50,10.045757
ATALOFNDEOCMKK-OITMNORJSA-N,2006,IC50,10.045757
ATALOFNDEOCMKK-OITMNORJSA-N,2007,IC50,10.045757
ATALOFNDEOCMKK-OITMNORJSA-N,2008,IC50,10.045757
ATALOFNDEOCMKK-OITMNORJSA-N,2012,Ki,9.096910
ATALOFNDEOCMKK-OITMNORJSA-N,2012,Ki,8.522879
ATALOFNDEOCMKK-OITMNORJSA-N,2012,Kd,8.079981
ATALOFNDEOCMKK-OITMNORJSA-N,2013,IC50,10.045757
ATALOFNDEOCMKK-OITMNORJSA-N,2014,Ki,10.100015
ATALOFNDEOCMKK-OITMNORJSA-N,2021,IC50,8.850781
ATALOFNDEOCMKK-OITMNORJSA-N,2018,IC50,10.045757
ATALOFNDEOCMKK-OITMNORJSA-N,2021,IC50,10.045757
ATALOFNDEOCMKK-OITMNORJSA-N,2025,Kd,10.065502
ATJZNASWBNGJGA-UPKFDLETSA-N,2011,IC50,10.739929
ATJZNASWBNGJGA-UPKFDLETSA-N,2011,Ki,11.102373
ATLZVWRXMUZKNV-KMWMRXANSA-N,2009,IC50,9.000000
ATLZVWRXMUZKNV-KMWMRXANSA-N,2009,Ki,9.283997
ATLZVWRXMUZKNV-RBYRPSCESA-N,2009,IC50,8.140022
ATLZVWRXMUZKNV-RBYRPSCESA-N,2009,Ki,8.431798
ATMHFQDWDFHUDF-BBDDESMNSA-N,2000,IC50,7.065502
ATMHFQDWDFHUDF-CXNSYNGHSA-N,2000,IC50,7.795880
ATMHFQDWDFHUDF-MDZDMXLPSA-N,2000,IC50,9.119186
ATMHFQDWDFHUDF-TXLWKQMCSA-N,2001,IC50,9.301030
ATMHFQDWDFHUDF-TXLWKQMCSA-N,2000,IC50,9.301030
ATMHFQDWDFHUDF-UPYVZJKUSA-N,2000,IC50,8.443697
